Date,Inclusions,Exclusions
1989-12-29,ABE.MC ACX.MC ALB.MC ASL.MC AZU.MC BBV.MC BKT.MC BTO.MC CEN.MC CEP.MC CABK.MC GAS.MC DRC.MC ECR.MC ELE.MC FEC.MC FOC.MC HID.MC HIS.MC IBE.MC MAP.MC PMD.MC POP.MC PSG.MC REP.MC SAN.MC SEV.MC ALT.MC TEF.MC UNF.MC URA.MC URB.MC SCYR.MC VDR.MC VIS.MC,
1991-01-02,AGR.MC ANA.MC HHU.MC,AZU.MC PSG.MC PMD.MC
1991-07-01,MVC.MC CAN.MC PMD.MC,ALB.MC CABK.MC ACX.MC
1991-10-01,ALB.MC CABK.MC,HID.MC PMD.MC
1992-01-02,SAR.MC EXT.MC AGS.MC BCH.MC ACX.MC,CEN.MC HIS.MC ECR.MC ALB.MC CABK.MC
1992-03-10,FCC.MC,FOC.MC
1992-07-01,PRY.MC ARA.MC ALB.MC AUM.MC,EXT.MC HHU.MC AGS.MC CEP.MC
1993-01-04,CEP.MC HHU.MC AGS.MC ZOT.MC,AGR.MC ARA.MC URB.MC SAR.MC
1993-07-01,ARG.MC,CEP.MC
1994-01-03,EBA.MC GES.MC,ASL.MC ZOT.MC
1994-07-01,CTE.MC,EBA.MC
1995-01-02,ENC.MC CTF.MC,HHU.MC AGS.MC
1995-07-02,AGS.MC AMP.MC AZC.MC,CTF.MC GES.MC VDR.MC
1996-01-02,GES.MC,AZC.MC
1997-01-02,SOL.MC PUL.MC,ENC.MC VIS.MC
1997-07-01,AZC.MC TUB.MC VIS.MC,ANA.MC GES.MC MVC.MC
1998-04-02,ACS.MC,BTO.MC
1998-07-01,ACR.MC TPZ.MC,ALB.MC FEC.MC
1999-01-04,ALB.MC ANA.MC NHH.MC,AZC.MC SEV.MC TUB.MC
1999-04-19,RAD.MC,BCH.MC
1999-07-01,FER.MC IDR.MC,AMP.MC RAD.MC
2000-01-03,AMS.MC SGC.MC TPI.MC,PUL.MC URA.MC VIS.MC
2000-01-31,BBVA.MC TRR.MC,ARG.MC BBV.MC
2000-07-03,REE.MC ZEL.MC,AUM.MC MAP.MC
2000-10-02,CRF.MC PRS.MC,CTE.MC PRY.MC
2001-01-02,TEM.MC GPP.MC,AGS.MC SCYR.MC
2001-04-10,,CAN.MC
2001-04-24,GAM.MC,
2001-07-02,ITX.MC,GPP.MC
2002-02-09,,ACR.MC
2002-02-19,LOR.MC,
2002-07-01,IAG.MC,TPZ.MC
2002-12-30,,CRF.MC
2003-01-02,MVC.MC SCYR.MC,ALB.MC SOL.MC
2003-01-10,ENG.MC,
2003-07-01,MAP.MC,PRS.MC
2003-07-24,,TRR.MC
2003-08-04,TRR.MC,
2003-12-15,,DRC.MC
2004-01-02,BTO.MC PRS.MC,TRR.MC
2004-07-01,SAB.MC,SCYR.MC
2005-01-03,SCYR.MC TL5.MC,REE.MC ZEL.MC
2005-06-28,,AMS.MC
2005-07-01,REE.MC CIN.MC,BTO.MC NHH.MC
2005-07-08,A3TV.MC,
2006-01-02,NHH.MC,MAP.MC
2006-07-03,FAD.MC,NHH.MC
2006-07-06,,LOR.MC
2006-07-25,MAP.MC,TEM.MC TPI.MC
2006-08-01,BTO.MC,
2006-08-17,NHH.MC,
2007-01-02,AGS.MC,PRS.MC
2007-03-09,,FAD.MC
2007-03-21,COL.MC,
2007-07-02,BME.MC,MVC.MC
2008-01-02,GRF.MC ABG.MC,A3TV.MC NHH.MC
2008-02-04,IBR.MC CABK.MC,ALT.MC AGS.MC
2008-04-13,TRE.MC,COL.MC
2008-05-12,,SGC.MC
2008-07-01,OHL.MC,
2009-04-15,,UNF.MC
2009-05-05,MTS.MC,
2009-12-07,,CIN.MC
2010-01-04,EBRO.MC,
2011-01-03,AMS.MC,BTO.MC
2011-01-21,,IAG.MC
2011-04-01,IAG.MC,
2011-07-11,,IBR.MC
2011-10-03,BKIA.MC,
2012-01-02,DIA.MC,
2012-05-02,,EBRO.MC
2012-10-26,ABG.P.MC,ABG.MC
2013-01-02,VIS.MC,BKIA.MC GAM.MC
2013-04-23,JAZ.MC,
2013-07-01,EBRO.MC,ABG.P.MC
2013-12-23,BKIA.MC GAM.MC,ACX.MC ELE.MC
2014-06-23,ABG-P.MC,EBRO.MC
2014-12-22,ELE.MC,VIS.MC
2015-06-22,ACX.MC AENA.MC,ANA.MC BME.MC
2015-06-24,,JAZ.MC
2015-07-20,ANA.MC,
2015-11-27,,ABG-P.MC
2015-12-21,MRL.MC,
